detailFund.acronym,detailFund.tradingName,detailFund.tradingCode,detailFund.tradingCodeOthers,detailFund.cnpj,detailFund.classification,detailFund.webSite,detailFund.fundAddress,detailFund.fundPhoneNumberDDD,detailFund.fundPhoneNumber,detailFund.fundPhoneNumberFax,detailFund.positionManager,detailFund.managerName,detailFund.companyAddress,detailFund.companyPhoneNumberDDD,detailFund.companyPhoneNumber,detailFund.companyPhoneNumberFax,detailFund.companyEmail,detailFund.companyName,detailFund.quotaCount,detailFund.quotaDateApproved,detailFund.typeFNET,detailFund.codes,detailFund.codesOther,detailFund.segment,shareHolder.shareHolderName,shareHolder.shareHolderAddress,shareHolder.shareHolderPhoneNumberDDD,shareHolder.shareHolderPhoneNumber,shareHolder.shareHolderFaxNumber,shareHolder.shareHolderEmail,url
RBIR,FII RBRES IV,RBIR11 ,,31161410000148,Financeiro e Outros/Fundos/Fundos Imobiliários,www.oliveiratrust.com.br,AV DAS AMÉRICAS 500 - BLOCO 13-GRUPO 205 - CEP: 22640100 CIDADE: RIO DE JANEIRO UF: RJ,21,35140000,0,DIRETOR RESPONSAVEL,JOSÉ ALEXANDRE COSTA DE FREITAS,AV DAS AMÉRICAS 500 - BLOCO 13-GRUPO 205 - CEP: 22640100 CIDADE: RIO DE JANEIRO UF: RJ,21,35140000,0,ger2.fundos@oliveiratrust.com.br,RB CAPITAL DESENV. RESIDENCIAL IV FDO. INV. IMOB. ,1528615,2020-02-28,,['RBIR11'],,,OLIVEIRA TRUST                          ,AV DAS AMÉRICAS 500 - BLOCO 13-GRUPO 205 - CEP: 22640100 Cidade: RIO DE JANEIRO UF: RJ,21,35140000,35140099,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjMxMTYxNDEwMDAwMTQ4IiwiaWRlbnRpZmllckZ1bmQiOiJSQklSIn0=
XPSF,FII XP SELEC,XPSF11 ,,30983020000190,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,,ATAULFO DE PAIVA - CEP: 22440032 CIDADE: RIO DE JANEIRO UF: RJ,11,30272237,0,DIRETOR RESPONSAVEL                     ,FAUSTO SILVA FILHO                                          ,ATAULFO DE PAIVA - CEP: 22440032 CIDADE: RIO DE JANEIRO UF: RJ,11,30272237,0,juridico.regulatorio@xpi.com.br,XP SELECTION FDO DE FUNDOS INV IMOB - FII         ,43302140,2022-05-03,,['XPSF11'],,,OLIVEIRA TRUST                          ,AV DAS AMÉRICAS 500 - BLOCO 13-GRUPO 205 - CEP: 22640100 Cidade: RIO DE JANEIRO UF: RJ,21,35140000,35140099,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjMwOTgzMDIwMDAwMTkwIiwiaWRlbnRpZmllckZ1bmQiOiJYUFNGIn0=
WPLZ,FII W PLAZA ,WPLZ11 ,,9326861000139,Financeiro e Outros/Fundos/Fundos Imobiliários,,N/I AV BRIGADEIRO FARIA LIMA 3600 -11 AND. CJ 112 3600 - 11º ANDAR - CJ 112 - CEP: 4538132 CIDADE: SAO PAULO UF: SP,11,54125400,0,DIRETOR RESPONSAVEL,MARIA CECÍLIA CARRAZEDO DE ANDRADE,N/I AV BRIGADEIRO FARIA LIMA 3600 -11 AND. CJ 112 3600 - 11º ANDAR - CJ 112 - CEP: 4538132 CIDADE: SAO PAULO UF: SP,11,54125400,0,dtvm@hedgeinvest.com.br,SHOPPING WEST PLAZA FDO INV IMOB                  ,1020747,2019-06-03,,['WPLZ11'],,,HEDGE INVESTMENTS DTVM LTDA             ,AV BRIGADEIRO FARIA LIMA 3600 - 11 AND.CJ 112 - CEP: 4538132 Cidade: SAO PAULO UF: SP,11,54125490,0,escrituracao@hedgeinvest.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiMDkzMjY4NjEwMDAxMzkiLCJpZGVudGlmaWVyRnVuZCI6IldQTFoiLCJ0eXBlRnVuZCI6N30=
VGIP,FII VALORAIP,VGIP11 ,,34197811000146,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.btgpactual.com/asset-management/fundos-btg-pactual,"Praia de Botafogo, 501 - 5 ANDAR, PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",21,33832513,0,DIRETOR RESPONSAVEL                     ,ALLAN HADID                                                 ,"Praia de Botafogo, 501 - 5 ANDAR, PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",21,33832513,0,sh-contato-fundoimobiliario@btgpactual.com,VALORA CRI ÍNDICE DE PREÇO FDO INVEST. IMOB. FII  ,11787247,2022-08-30,,['VGIP11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjM0MTk3ODExMDAwMTQ2IiwiaWRlbnRpZmllckZ1bmQiOiJWR0lQIn0=
BBFI,FII BB PROGR,BBFI11B ,,7000400000146,Financeiro e Outros/Fundos/Fundos Imobiliários,www.btgpactual.com,R PRAIA DE BOTAFOGO 501 - 6.ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33832513,0,DIRETOR RESPONSAVEL,ALLAN HADID,R PRAIA DE BOTAFOGO 501 - 6.ANDAR - CEP: 22250040 CIDADE: SAO PAULO UF: SP,11,33832513,0,SH-contato-fundoimobiliario@btgpactual.com,BB FDO INV IMOB PROGRESSIVO                       ,130000,2004-10-05,,['BBFI11B'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJCQkZJIn0=
FISD,FII DOMINGOS,FISD11 ,,16543270000189,Financeiro e Outros/Fundos/Fundos Imobiliários,,R DA BELGICA 10 - 605 - CEP: 40010030 CIDADE: SALVADOR UF: BA,21,35004500,31130069,DIRETOR RESPONSAVEL,ÊNIO CARVALHO RODRIGUES,R DA BELGICA 10 - 605 - CEP: 40010030 CIDADE: SALVADOR UF: BA,21,35004500,35004500,controladoria@rjicv.com.br,SAO DOMINGOS FDO INV IMOB - FII                   ,648776,2017-03-09,,['FISD11'],,,RJI CTVM LTDA,R DA BELGICA 10 - 6 ANDAR SL 605 - CEP: 40010030 CIDADE: SALVADOR UF: BA,21,35004500,0,mauromello@rjicv.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiMTY1NDMyNzAwMDAxODkiLCJpZGVudGlmaWVyRnVuZCI6IkZJU0QiLCJ0eXBlRnVuZCI6N30=
LFTT,FII LOFT II ,LFTT11 ,,24796967000190,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.modaldtvm.com.br,"PRAIA DE BOTAFOGO 501 - BLOCO I, 5 ANDAR, 501 - BLOCO I, 5 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",21,32337700,0,DIRETOR RESPONSAVEL                     ,CARLOS BERNARDO DE SÁ KESSLER,"PRAIA DE BOTAFOGO 501 - BLOCO I, 5 ANDAR, 501 - BLOCO I, 5 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",21,32337700,0,fundosespeciais@modal.com.br,LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO         ,2000000,2020-07-24,,['LFTT11'],,,MAF DTVM S.A.                           ,R PRAIA DE BOTAFOGO 501 - 5º ANDAR PARTE TORR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,45601000,32237738,compliance.maf@modal.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJMRlRUIn0=
PVBI,FII VBI PRI ,PVBI11 ,,35652102000176,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.btgpactual.com,"PRAIA DO BOTAFOGO, 501 - 5 ANDAR - CEP: 22250911 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,DIRETOR RESPONSAVEL                     ,ALLAN HADID                                                 ,"PRAIA DO BOTAFOGO, 501 - 5 ANDAR - CEP: 22250911 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,sh-contato-fundoimobiliario@btgpactual.com,FDO. INV. IMOB. VBI PRIME PROPERTIES              ,10039493,2022-11-25,,['PVBI11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjM1NjUyMTAyMDAwMTc2IiwiaWRlbnRpZmllckZ1bmQiOiJQVkJJIn0=
PNLN,FII LASTMILE,,,40887170000154,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://www.brltrust.com.br/,"RUA IGUATEMI, 151 - RUA IGUATEMI - CEP: 1451011 CIDADE: SÃO PAULO UF: SP",11,31330350,0,DIRETOR RESPONSAVEL                     ,DANILO CHRISTÓFARO BARBIERI                                 ,"RUA IGUATEMI, 151 - RUA IGUATEMI - CEP: 1451011 CIDADE: SÃO PAULO UF: SP",11,31330350,0,fii@brltrust.com.br,PANORAMA LAST MILE SBC FDO INV IMOB               ,240000,2023-01-11,,,,,BRL TRUST DTVM S.A.                     ,"R IGUATEMI, 151 - 19.ANDAR - CEP: 1451011 Cidade: SAO PAULO UF: SP",11,31330350,0,funds@brltrust.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjQwODg3MTcwMDAwMTU0IiwiaWRlbnRpZmllckZ1bmQiOiJQTkxOIn0=
AAZQ,FIAGRO AAZQ ,AAZQ11 ,,44625826000111,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.xpi.com.br/,"Avenida Ataulfo de Paiva, 153 - sALA 201 - CEP: 22440032 CIDADE: RIO DE JANEIRO UF: RJ",11,30272237,0,DIRETOR RESPONSAVEL                     ,LIZANDRO SOMMER ARNONI,"Avenida Ataulfo de Paiva, 153 - sALA 201 - CEP: 22440032 CIDADE: RIO DE JANEIRO UF: RJ",11,30272237,0,juridico.regulatorio@xpi.com.br,AZ QUEST SOLE FDO DE INV - FIAGRO - IMOBILIARIO   ,24037284,2022-12-12,,['AAZQ11'],,,OLIVEIRA TRUST                          ,AV DAS AMÉRICAS 500 - BLOCO 13-GRUPO 205 - CEP: 22640100 Cidade: RIO DE JANEIRO UF: RJ,21,35140000,35140099,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6MzQsImNucGoiOiI0NDYyNTgyNjAwMDExMSIsImlkZW50aWZpZXJGdW5kIjoiQUFaUSJ9
CRAA,FIAGRO CRAA ,,,48903610000121,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://www.btgpactual.com/,"Praia de Botafogo, 501 - 6º ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",21,32629600,0,DIRETOR RESPONSAVEL                     ,ALLAN HADID                                                 ,"Praia de Botafogo, 501 - 6º ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",21,32629600,0,ol-eventos-estruturados-psf@btgpactual.com,SPARTA FIAGRO FDO INV NAS CAD PROD AGRO - IMOB    ,300000,2022-12-26,,,,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiNDg5MDM2MTAwMDAxMjEiLCJpZGVudGlmaWVyRnVuZCI6IkNSQUEiLCJ0eXBlRnVuZCI6MzR9
CYLD,FII CYLD    ,,,43010601000198,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://cy.capital/,"Praia de Botafogo, 501 - 5º andar parte - CEP: 22250911 CIDADE: RIO DE JANEIRO UF: RJ",11,338390,0,DIRETOR RESPONSAVEL                     ,ALLAN HADID                                                 ,"Praia de Botafogo, 501 - 5º andar parte - CEP: 22250911 CIDADE: RIO DE JANEIRO UF: RJ",11,338390,0,sh-contato-fundoimobiliario@btgpactual.com,CYRELA DESENVOLVIMENTO LOGÍSTICO FDO INV IMOB     ,2700000,2023-01-16,,,,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJDWUxEIn0=
PNPR,FII PAN PROP,PNPR11 ,,26813118000122,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.singulareinvest.com.br,"BRIGADEIRO FARIA LIMA, 1355 - 3 ANDAR - CEP: 1452002 CIDADE: SÃO PAULO UF: SP",11,28273821,0,DIRETOR RESPONSAVEL                     ,DANIEL DOLL LEMOS                                           ,"BRIGADEIRO FARIA LIMA, 1355 - 3 ANDAR - CEP: 1452002 CIDADE: SÃO PAULO UF: SP",11,28273821,0,fii.adm@singulare.com.br,PANORAMA PROPERTIES FDO. INVEST. IMOB.            ,558171,2022-09-16,,['PNPR11'],,,SINGULARE CORRETORA DE TITULOS E VALORES,"AV BRIG. FARIA LIMA, 1355 - 5.ANDAR - CEP: 1452002 Cidade: SÃO PAULO UF: SP",11,28273500,0,daniel@singulare.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiMjY4MTMxMTgwMDAxMjIiLCJpZGVudGlmaWVyRnVuZCI6IlBOUFIiLCJ0eXBlRnVuZCI6N30=
RECT,FII REC REND,RECT11 ,,32274163000159,Financeiro e Outros/Fundos/Fundos Imobiliários,www.brltrust.com.br,"R Iguatemi, 151 – 19º andar  -  - CEP: 1451011 CIDADE: São Paulo UF: SP",11,31330350,0,DIRETOR RESPONSAVEL,DANILO CHRISTÓFARO BARBIERI,"R Iguatemi, 151 – 19º andar  -  - CEP: 1451011 CIDADE: São Paulo UF: SP",11,31330350,0,funds@brltrust.com.br,FDO INV IMOB - FII REC RENDA IMOBILIARIA          ,8179347,2021-04-13,,['RECT11'],,,BRL TRUST DTVM S.A.                     ,"R IGUATEMI, 151 - 19.ANDAR - CEP: 1451011 Cidade: SAO PAULO UF: SP",11,31330350,0,funds@brltrust.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJSRUNUIn0=
FIIP,FII RB CAP I,FIIP11B ,,8696175000197,Financeiro e Outros/Fundos/Fundos Imobiliários,www.oliveiratrust.com.br,AV DAS AMÉRICAS 3434 - BLOCO 07 / GRUPO 201 - CEP: 22640102 CIDADE: RIO DE JANEIRO UF: RJ,21,35140000,35140099,DIRETOR RESPONSAVEL,JOSÉ ALEXANDRE COSTA DE FREITAS,AV DAS AMÉRICAS 3434 - BLOCO 07 / GRUPO 201 - CEP: 22640102 CIDADE: RIO DE JANEIRO UF: RJ,21,35140000,35140099,fundos@oliveiratrust.com.br,RB CAPITAL RENDA I FDO INV IMOB - FII             ,927162,2009-12-03,,['FIIP11B'],,,BRADESCO                                ,"CIDADE DE DEUS, PREDIO AMARELO - 2.ANDAR - CEP: 6029900 Cidade: OSASCO UF: SP",11,36843749,36842714,4010.ACOES@BRADESCO.COM.BR,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJGSUlQIn0=
